processed_content
tesla's china sales more than doubled in
the electric car company has been ramping up production at its factory in shanghai and selling china-made vehicles to the local market.
"bitcoin surges above $, to record after elon musk's tesla buys $. billion worth"
tesla revealed the big stake in the digital coin and said it would start accepting payments in bitcoin for its products.
tesla purchases $. billion in bitcoin — here's what could happen next
tesla has announced that it bought $. billion in bitcoin and would start accepting the cryptocurrency as payment. experts weigh in.
"mike santoli’s market notes: relentless rally for stocks, moonshots and memes, the kids like tesla"
here are cnbc senior markets commentator michael santoli's notes for feb. .
"tesla buys $. billion in bitcoin, plans to accept it as payment"
"elon musk has been promoting cryptocurrencies on his twitter account in recent weeks, sending prices soaring."
"major tesla shareholder ron baron not surprised by bitcoin, wants to explore rationale"
longtime tesla shareholder ron baron told cnbc's becky quick he wants to better understand the automaker's reasoning for purchasing bitcoin.
"stocks making the biggest moves midday: tesla, palantir, hasbro, target and more"
these are the stocks posting the largest moves in midday trading.
el-erian sees tesla's bitcoin move as a game changer for investors
bitcoin's price soared following news that elon musk's tesla bought $. billion of the cryptocurrency.
an apple car would increase pressure on tesla and other automakers
"apple entering a new segment – phones, watches, music, etc. – has meant significant pressure for legacy companies. a car would likely be no different."
tesla founders martin eberhard and marc tarpenning talk about the early days and bringing on elon musk
"tesla to recall , model s and x vehicles in china over touch-screen failures"
the latest recall represents tesla's third in china since the fourth quarter of .
"indonesia, world's biggest nickel producer, says it received an investment proposal from tesla"
"indonesia has received an investment proposal from tesla, said the country's deputy head for investment and mining coordination, septian hario seto."
"tesla to recall more than , cars following regulators' pressure"
"tesla voluntarily recalled , model s and model x vehicles with touchscreen failures that led to the loss of several safety-related features."
"here are tuesday's biggest analyst calls of the day: tesla, dell, mcafee, boeing & more"
here are the biggest calls on wall street on tuesday.
"here are monday's biggest analyst calls of the day: tesla, virgin galactic, mcdonald's & more"
here are the biggest calls on wall street on monday.
"stocks making the biggest moves in the premarket: tesla, curevac, otis worldwide & more"
"the stocks making the biggest moves in premarket trading include tesla, curevac, otis worldwide, and more."
"tesla service now includes collision repairs, fulfilling elon musk's  promise"
"in an email to customers on friday, the company touted its ability to fix everything from dents and scratches to ""suspension and axle damage"""
"stocks making the biggest moves midday: gamestop, amc entertainment, tesla and more"
take a look at the stocks making notable moves in midday trading.
here's what every major analyst had to say about tesla's earnings miss
one investment research firm downgraded elon musk's automaker after the company's fourth-quarter earnings report.
tesla semi production on hold until company can make its own batteries
"elon musk said tesla won't mass manufacture its semi, a heavy duty truck, until the company can produce high volumes of its own battery cells."
"here are thursday's biggest analyst calls of the day: tesla, twitter, bed bath & beyond & more"
here are the biggest calls on wall street on thursday.
tesla shows off updated design for model s
"the new model s starts at $,. its plaid version starts at $,."
"tesla misses on earnings, expects % average annual growth in deliveries going forward"
tesla missed on earnings but reported positive cash flow and said it expects to increase vehicle deliveries by % each year going forward.
elon musk explains how self-driving robotaxis will justify tesla's massive valuation
"on tesla's fourth quarter earnings call, ceo elon musk told analysts that the company's valuation makes sense if you assume cars become robotaxis."
"stocks making the biggest moves after hours: facebook, tesla, gamestop and more"
see which stocks are posting big moves after the bell on jan. .
here's what every major analyst expects from tesla's fourth-quarter earnings
wall street analysts believe tesla is due for a big quarter when it reports earnings on wednesday.
etsy shares jump after elon musk tweets he 'kinda loves' the e-commerce company
"also on tuesday, jefferies raised its -month price target on etsy to a street high of $ per share."
chinese electric carmaker xpeng rolls out autonomous highway driving features in challenge to tesla
xpeng motors' navigation guided pilot or ngp is rolling out to eligible customers of its p sedan in a challenge to tesla's own software.
