tesla_content
Tesla's China sales more than doubled in 2020
The electric car company has been ramping up production at its factory in Shanghai and selling China-made vehicles to the local market.
"Bitcoin surges above $46,000 to record after Elon Musk's Tesla buys $1.5 billion worth"
Tesla revealed the big stake in the digital coin and said it would start accepting payments in bitcoin for its products.
Tesla purchases $1.5 billion in bitcoin — here's what could happen next 
Tesla has announced that it bought $1.5 billion in bitcoin and would start accepting the cryptocurrency as payment. Experts weigh in. 
"Mike Santoli’s market notes: Relentless rally for stocks, moonshots and memes, the kids like Tesla"
Here are CNBC senior markets commentator Michael Santoli's notes for Feb. 8.
"Tesla buys $1.5 billion in bitcoin, plans to accept it as payment
"
"Elon Musk has been promoting cryptocurrencies on his Twitter account in recent weeks, sending prices soaring."
"Major Tesla shareholder Ron Baron not surprised by bitcoin, wants to explore rationale"
Longtime Tesla shareholder Ron Baron told CNBC's Becky Quick he wants to better understand the automaker's reasoning for purchasing bitcoin.
"Stocks making the biggest moves midday: Tesla, Palantir, Hasbro, Target and more "
These are the stocks posting the largest moves in midday trading. 
El-Erian sees Tesla's bitcoin move as a game changer for investors
Bitcoin's price soared following news that Elon Musk's Tesla bought $1.5 billion of the cryptocurrency.
An Apple car would increase pressure on Tesla and other automakers
"Apple entering a new segment – phones, watches, music, etc. – has meant significant pressure for legacy companies. A car would likely be no different."
Tesla founders Martin Eberhard and Marc Tarpenning talk about the early days and bringing on Elon Musk
""
"Tesla to recall 36,126 Model S and X vehicles in China over touch-screen failures"
The latest recall represents Tesla's third in China since the fourth quarter of 2020.
"Indonesia, world's biggest nickel producer, says it received an investment proposal from Tesla"
"Indonesia has received an investment proposal from Tesla, said the country's deputy head for investment and mining coordination, Septian Hario Seto."
"Tesla to recall more than 130,000 cars following regulators' pressure"
"Tesla voluntarily recalled 134,951 Model S and Model X vehicles with touchscreen failures that led to the loss of several safety-related features."
"Here are Tuesday's biggest analyst calls of the day: Tesla, Dell, McAfee, Boeing & more"
Here are the biggest calls on Wall Street on Tuesday.
